Category,Food or category (serving),Number of sources,Mean Ni (ug/serving),Stddev (ug/serving),Min Ni (ug/serving),Max Ni (ug/serving)
"Whole grains, flours and starches","Flour, hemp, 15 g",2,146.24,94.59,51.65,240.83
"Whole grains, flours and starches","Amaranth, black, raw, 45 g*",1,155.25,0,155.25,155.25
"Whole grains, flours and starches","Flour, pea, 15 g",3,190.4,227.28,6.6,510.66
Fruits - Berries,"Elderberries, 80 g",3,3.91,0.12,3.82,4.08
Fruits - Berries,"Mulberry, 80 g*",1,3.84,0,3.84,3.84
Fruits - Berries,"Pomegranate, 80 g*",2,4,0,4,4
Fruits - Berries,"Cranberries, 55 g",6,4.4,2.66,2.75,9.9
Fruits - Berries,"Gooseberries, 80 g",5,4.44,2.91,2,8
Fruits - Berries,"Blueberries, 80 g",58,5.65,3.19,1.6,19.04
Fruits - Berries,"Lingonberries, 80 g",16,5.04,6.07,1.76,28
Fruits - Berries,"Currants, 80 g",23,6.61,2.93,0.8,13.6
Fruits - Berries,"Strawberries, 140 g",117,6.63,4.82,0.7,35.28
Fruits - Berries,"Rowanberries, 80 g*",3,8,0,8,8
Fruits - Berries,"Currants, canned, 80 g*",1,10.4,0,10.4,10.4
Fruits - Berries,"Cloudberries, 80 g",3,15.47,0.75,14.4,16
Fruits - Berries,"Blackberries, 80 g",3,19.73,2.64,16,21.6
Fruits - Berries,"Raspberries, 80 g",31,20.27,17.57,0.64,72
Fruits - Berries,"Rosehips, 80 g*",2,32,0,32,32
Fruits - Berries,"Strawberries, canned, 140 g*",1,34.02,0,34.02,34.02
Fruits - Berries,"Goji berries, 80 g*",1,48,0,48,48
Fruits - Citrus,"Grapefruit, 140 g",84,4.11,4.3,0.7,28
Fruits - Citrus,"Lemon / Lime, 55 g",15,4.59,3.32,0.55,12.1
Fruits - Citrus,"Citrus fruits, unspecified, 140 g",22,6.09,2.97,2.06,13.44
Fruits - Citrus,"Orange, 140 g",92,5.75,5.16,1.12,30.8
Fruits - Citrus,"Pomelo, 140 g",3,6.49,4.49,2.38,12.74
Fruits - Citrus,"Tangerine or mandarin orange, 140 g",11,8.65,7.11,2.8,23.52
Fruits - Citrus,"Citrus fruits, canned, 140 g",4,12.13,12.5,3.16,33.6
Fruits - Other,"Breadfruit, 140 g",3,2.05,0.54,1.54,2.8
Fruits - Other,"Cherries, 140 g",24,3.5,1.45,1.82,7
Fruits - Other,"Apple, 140 g",143,3.01,3.12,0.31,18.34
Fruits - Other,"Grape, 140 g",120,4.24,6.35,0.63,38.22
Fruits - Other,"Mango, 140 g",19,5.96,4.49,1.14,15.4
Fruits - Other,"Papaya, 140 g",11,6.89,4.61,1.86,15.96
Fruits - Other,"Jack fruit, 140 g",2,9.1,2.1,7,11.2
Fruits - Other,"Kiwi, 140 g",29,6.86,7.2,0.92,28
Fruits - Other,"Banana, 140 g",113,7.32,6.77,1.12,37.8
Fruits - Other,"Phalsa, 140 g*",1,8.4,0,8.4,8.4
Fruits - Other,"Pear, 140 g",176,8.26,5.77,1.05,33.6
Fruits - Other,"Watermelon, 150 g",85,7.94,6.69,1.2,37.35
Fruits - Other,"Apple, canned, 140 g*",1,9.8,0,9.8,9.8
Fruits - Other,"Pineapple, 140 g",41,8.6,7.54,2.8,23.8
Fruits - Other,"Peach or nectarine, 140 g",155,10.34,4.42,1.12,30.8
Fruits - Other,"Jujube, 140 g",2,12.85,1.65,11.2,14.49
Fruits - Other,"Melons, 150 g",106,11.8,8.14,1.2,42.9
Fruits - Other,"Guava, 140 g",4,13.26,6.68,2.62,19.6
Fruits - Other,"Karonda fruit, 140 g*",1,14,0,14,14
Fruits - Other,"Dragon fruit, 140 g",2,14,8.4,5.6,22.4
Fruits - Other,"Dates, fresh, 140 g",2,18.55,2.45,16.1,21
Fruits - Other,"Pineapple, canned, 140 g",71,15.8,9.59,1.82,64.12
Fruits - Other,"Apricot, canned, 140 g",51,15.91,11.24,1.12,85.54
Fruits - Other,"Fig, 140 g*",1,18.2,0,18.2,18.2
Fruits - Other,"Lychee, 140 g",3,18.44,9.84,9.8,32.2
Fruits - Other,"Persimmon, 140 g",4,29.96,1.14,28,30.8
Fruits - Other,"Plum, 140 g",16,20.18,21.1,3.36,72.8
Fruits - Other,"Jambu fruit, 140 g*",1,22.4,0,22.4,22.4
Fruits - Other,"Apricot, 140 g*",2,23.8,0,23.8,23.8
Fruits - Other,"Lychee, canned, 140 g*",1,25.62,0,25.62,25.62
Fruits - Other,"Passionfruit, 140 g*",1,32.2,0,32.2,32.2
Fruits - Other,"Star fruit, 140 g*",1,39.2,0,39.2,39.2
Fruits - Other,"Sapota, 140 g*",1,40.6,0,40.6,40.6
Fruits - Other,"Bael fruit, 140 g",2,46.9,11.9,35,58.8
Fruits - Other,"Avocado, 140 g",85,42.44,39.82,9.24,290.92
Fruits - Other,"Coconut, 140 g",4,100.1,54.41,35,180.6
Vegetables - Root,"Onion, 85 g",92,3.06,2.33,0.68,16.15
Vegetables - Root,"Carrot, 85 g",103,3.79,2.36,0.43,12.92
Vegetables - Root,"Radish, 85 g",13,4.26,1.75,1.7,7.65
Vegetables - Root,"Celeriac, 85 g",5,5,0.71,4.42,5.95
Vegetables - Root,"Salsify, 85 g*",2,4.08,0,4.08,4.08
Vegetables - Root,"Rutabaga, 85 g",7,4.81,1.21,3.32,6.63
Vegetables - Root,"Kohlrabi, 85 g*",2,5.1,0,5.1,5.1
Vegetables - Root,"Turnip, 85 g",4,5.4,3.76,0.85,11.31
Vegetables - Root,"Parsley root, 85 g",2,9.39,0.04,9.35,9.44
Vegetables - Root,"Water chestnut, 85 g*",1,9.35,0,9.35,9.35
Vegetables - Root,"Beets, 85 g",16,8.46,7.19,1.4,22.95
Vegetables - Root,"Potato, 110 g",84,8.17,9.5,0.44,44
Vegetables - Root,"Jerusalem artichoke, 85 g*",1,12.75,0,12.75,12.75
Vegetables - Root,"Sweet potato, 110 g",9,12.55,7.67,3.3,28.6
Vegetables - Root,"Lotus root, 85 g",2,15.17,4.38,10.8,19.55
Vegetables - Root,"Yam, 110 g",4,17.6,4.47,12.1,22
Vegetables - Root,"Parsnip, 85 g",9,19.72,7.28,9.35,34.43
Vegetables - Root,"Arracacha, 110 g*",1,26.4,0,26.4,26.4
Vegetables - Root,"Fennel, 85 g*",2,28.9,0,28.9,28.9
Vegetables - Root,"Taro root, 110 g*",1,38.5,0,38.5,38.5
Vegetables - Root,"Cassava, 110 g",3,32.63,25.99,12.1,69.3
Vegetables - Leafy,"Bitter leaf, 85 g*",1,1.28,0,1.28,1.28
Vegetables - Leafy,"Celtuse/Chinese lettuce, 85 g*",1,3.66,0,3.66,3.66
Vegetables - Leafy,"Cabbage, 85 g",59,4.8,4.29,0.85,20.4
Vegetables - Leafy,"Jews mallow leaves, 85 g*",1,4.25,0,4.25,4.25
Vegetables - Leafy,"Lettuces, 85 g",124,5.83,4.7,0.17,28.9
Vegetables - Leafy,"Bathua leaves, 85 g*",1,6.8,0,6.8,6.8
Vegetables - Leafy,"Mustard leaves, 85 g",2,9.48,3.27,6.21,12.75
Vegetables - Leafy,"Head/iceberg lettuce, 85 g",83,9.01,6.86,0.29,28.05
Vegetables - Leafy,"Spinach, 85 g",45,8.94,9.99,1.7,51
Vegetables - Leafy,"Kale, 85 g",6,11.79,1.66,8.67,13.6
Vegetables - Leafy,"Cauliflower leaves, 85 g*",1,11.05,0,11.05,11.05
Vegetables - Leafy,"Chard, 85 g",4,11.88,6.25,3.32,17.85
Vegetables - Leafy,"Pea shoots, 85 g*",1,13.01,0,13.01,13.01
Vegetables - Leafy,"Bok choy, 85 g",2,13.22,7.18,6.04,20.4
Vegetables - Leafy,"Kohlrabi leaves, 85 g*",1,15.3,0,15.3,15.3
Vegetables - Leafy,"Plumed cockscomb leaves, 85 g*",1,15.3,0,15.3,15.3
Vegetables - Leafy,"Gboma leaves, 85 g*",1,15.56,0,15.56,15.56
Vegetables - Leafy,"Water leaf, 85 g*",1,16.15,0,16.15,16.15
Vegetables - Leafy,"Beet greens, 85 g*",1,17,0,17,17
Vegetables - Leafy,"Rumex leaves, 85 g*",1,17,0,17,17
Vegetables - Leafy,"Amaranth leaves, 85 g",5,19.89,3.86,14.45,25.5
Vegetables - Leafy,"Watercress, 85 g",3,17.51,8.8,7.48,28.9
Vegetables - Leafy,"Alfalfa sprouts, 85 g",3,21.76,4,17.68,27.2
Vegetables - Leafy,"Drumstick leaves, 85 g*",1,20.4,0,20.4,20.4
Vegetables - Leafy,"Fluted pumpkin leaves, 85 g*",1,20.4,0,20.4,20.4
Vegetables - Leafy,"Radish leaves, 85 g*",1,21.25,0,21.25,21.25
Vegetables - Leafy,"Taro leaves, 85 g*",1,22.1,0,22.1,22.1
Vegetables - Leafy,"Pumpkin leaves, 85 g*",1,22.95,0,22.95,22.95
Vegetables - Leafy,"Arugula/rocket, 85 g*",1,24.65,0,24.65,24.65
Vegetables - Leafy,"Brussels sprouts tops, 85 g*",1,24.65,0,24.65,24.65
Vegetables - Leafy,"Collard greens, 85 g*",1,25.5,0,25.5,25.5
Vegetables - Leafy,"Leaf chicory (endive or radicchio), 85 g",5,25.08,13.87,6.89,48.79
Vegetables - Leafy,"Seaweed, 15 g",19,20.66,22.72,1.5,102.9
Vegetables - Leafy,"Fenugreek leaves, 85 g*",1,28.9,0,28.9,28.9
Vegetables - Leafy,"Ponnaganni (leaves), 85 g*",1,34.85,0,34.85,34.85
Vegetables - Leafy,"Garden cress, 85 g*",2,35.7,0,35.7,35.7
Vegetables - Leafy,"Betel leaves, 85 g",2,39.53,2.98,36.55,42.5
Vegetables - Leafy,"Malabar spinach, 85 g*",1,37.4,0,37.4,37.4
Vegetables - Leafy,"Gogu leaves, 85 g*",2,42.5,0,42.5,42.5
Vegetables - Leafy,"Nettle leaves, 85 g*",1,42.5,0,42.5,42.5
Vegetables - Leafy,"Agathi leaves, 85 g*",1,57.8,0,57.8,57.8
Vegetables - Other,"Olives, 15 g",56,1.31,0.84,0.15,5.55
Vegetables - Other,"Pickles, 30 g",56,1.16,1.16,0.17,6.75
Vegetables - Other,"Mushrooms, 85 g",136,2.39,2.36,0.26,11.9
Vegetables - Other,"Celery, 85 g",87,2.8,2.2,0.43,16.15
Vegetables - Other,"Tomato, 85 g",107,2.44,3.03,0.43,20.49
Vegetables - Other,"Cucumber, 85 g",109,2.84,3.1,0.43,21.25
Vegetables - Other,"Plantain, stem, 85 g*",1,2.55,0,2.55,2.55
Vegetables - Other,"Wax gourd, 85 g*",1,3.06,0,3.06,3.06
Vegetables - Other,"Garlic scapes, 40 g*",1,4,0,4,4
Vegetables - Other,"Plantain, green, 85 g*",1,4.25,0,4.25,4.25
Vegetables - Other,"Eggplant, 85 g",9,4.37,4.1,0.34,11.05
Vegetables - Other,"Leek, 85 g",8,4.74,3.38,1.4,11.05
Vegetables - Other,"Tomato, sun-dried, 30 g",2,5.13,4.17,0.96,9.3
Vegetables - Other,"Ivy gourd, 85 g",2,6.8,1.7,5.1,8.5
Vegetables - Other,"Cauliflower, 85 g",18,6.08,5.06,0.94,20.4
Vegetables - Other,"Ash gourd, 85 g*",1,6.8,0,6.8,6.8
Vegetables - Other,"Bamboo shoot, 85 g*",1,6.8,0,6.8,6.8
Vegetables - Other,"Plantain, flower, 85 g*",1,7.65,0,7.65,7.65
Vegetables - Other,"Taro stem, 85 g",2,8.93,2.13,6.8,11.05
Vegetables - Other,"Spring onion, 40 g",4,7.58,4.89,1.6,12.4
Vegetables - Other,"Bottle gourd, 85 g",3,9.92,2.23,6.8,11.9
Vegetables - Other,"Peppers, 85 g",106,6.99,8.31,0.6,49.98
Vegetables - Other,"Drumstick, 85 g*",1,9.35,0,9.35,9.35
Vegetables - Other,"Broccoli, 85 g",9,9.69,5.52,2.3,22.1
Vegetables - Other,"Corn, 85 g",14,7.89,9.31,2.72,39.95
Vegetables - Other,"Zucchini, 85 g",5,9.82,8.74,0.64,21.25
Vegetables - Other,"Ridge gourd, 85 g",2,11.05,0.85,10.2,11.9
Vegetables - Other,"Snake gourd, 85 g",3,10.2,3.47,5.95,14.45
Vegetables - Other,"Rhubarb, 140 g",7,11.11,4.77,5.04,21
Vegetables - Other,"Pointed gourd, 85 g*",1,10.2,0,10.2,10.2
Vegetables - Other,"Tinda gourd, 85 g*",1,10.2,0,10.2,10.2
Vegetables - Other,"Squash, 85 g",3,12.64,6.21,3.91,17.85
Vegetables - Other,"Snow pea, 85 g*",1,12.75,0,12.75,12.75
Vegetables - Other,"Pumpkin, 85 g",5,14.16,7.96,3.91,23.8
Vegetables - Other,"Brussels sprouts, 85 g",11,12.45,11.9,2.38,47.6
Vegetables - Other,"Beans, runner, 85 g",2,17.21,5.74,11.48,22.95
Vegetables - Other,"Bitter melon, 85 g",4,18.28,12.57,9.35,39.95
Vegetables - Other,"Green beans, 85 g",13,19.14,11.65,3.52,47.6
Vegetables - Other,"Asparagus, 85 g",6,25.25,7.99,15.3,35.7
Vegetables - Other,"Snap peas, 85 g*",1,22.1,0,22.1,22.1
Vegetables - Other,"Okra, 85 g",2,25.5,15.3,10.2,40.8
Vegetables - Other,"Bean sprouts, 65 g",4,29.4,17.37,11.05,56.94
Vegetables - Other,"Peas, dried, 35 g",6,32.81,20.44,4.52,59.5
