FiscalYear CalendarYear Collection TDSFoodNumber TDSFoodDescription Season TDSFoodListType Region Analyte Units Concentration ReportingLimit 
2018 2018 5 13 "Beef, ground, pan-cooked" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 6 13 "Beef, ground, pan-cooked" Winter Regional Northeast Nickel ppb 0 40 
2018 2018 7 13 "Beef, ground, pan-cooked" Summer Regional West Nickel ppb 0 40 
2018 2018 8 13 "Beef, ground, pan-cooked" Summer Regional Northeast Nickel ppb 0 40 
2018 2018 9 13 "Beef, ground, pan-cooked" Summer Regional Southwest Nickel ppb 0 40 
2018 2018 10 13 "Beef, ground, pan-cooked" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2018 2018 11 13 "Beef, ground, pan-cooked" Summer Regional West Nickel ppb 0 40 
2018 2018 12 13 "Beef, ground, pan-cooked" Summer Regional North Central Nickel ppb 0 40 
2019 2018 1 13 "Beef, ground, pan-cooked" Winter Regional West Nickel ppb 0 40 
2019 2018 2 13 "Beef, ground, pan-cooked" Winter Regional Southeast Nickel ppb 47 40 
2019 2018 3 13 "Beef, ground, pan-cooked" Winter Regional Northeast Nickel ppb 0 40 
2019 2019 7 13 "Beef, ground, pan-cooked" Summer Regional Southeast Nickel ppb 0 40 
2019 2019 8 13 "Beef, ground, pan-cooked" Summer Regional North Central Nickel ppb 0 40 
2019 2019 9 13 "Beef, ground, pan-cooked" Summer Regional West Nickel ppb 0 40 
2019 2019 10 13 "Beef, ground, pan-cooked" Summer Regional Northeast Nickel ppb 0 40 
2019 2019 11 13 "Beef, ground, pan-cooked" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2019 2019 12 13 "Beef, ground, pan-cooked" Summer Regional Southwest Nickel ppb 0 40 
2020 2019 1 13 "Beef, ground, pan-cooked" Winter Regional Northeast Nickel ppb 0 40 
2020 2019 2 13 "Beef, ground, pan-cooked" Winter Regional Southwest Nickel ppb 0 40 
2020 2019 3 13 "Beef, ground, pan-cooked" Winter Regional Mid-Atlantic Nickel ppb 47 40 
2020 2020 4 13 "Beef, ground, pan-cooked" Winter Regional West Nickel ppb 0 40 
2020 2020 5 13 "Beef, ground, pan-cooked" Winter Regional North Central Nickel ppb 0 40 
2020 2020 6 13 "Beef, ground, pan-cooked" Winter Regional Southeast Nickel ppb 290 40 
2018 2017 1 17 "Ham, cured (not canned), baked" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2018 2017 2 17 "Ham, cured (not canned), baked" Winter Regional North Central Nickel ppb 0 40 
2018 2017 3 17 "Ham, cured (not canned), baked" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 4 17 "Ham, cured (not canned), baked" Winter Regional Southwest Nickel ppb 0 40 
2018 2018 5 17 "Ham, cured (not canned), baked" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 6 17 "Ham, cured (not canned), baked" Winter Regional Northeast Nickel ppb 0 40 
2018 2018 7 17 "Ham, cured (not canned), baked" Summer Regional West Nickel ppb 0 40 
2018 2018 8 17 "Ham, cured (not canned), baked" Summer Regional Northeast Nickel ppb 0 40 
2018 2018 9 17 "Ham, cured (not canned), baked" Summer Regional Southwest Nickel ppb 0 40 
2018 2018 10 17 "Ham, cured (not canned), baked" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2018 2018 11 17 "Ham, cured (not canned), baked" Summer Regional West Nickel ppb 0 40 
2018 2018 12 17 "Ham, cured (not canned), baked" Summer Regional North Central Nickel ppb 0 40 
2019 2018 1 17 "Ham, cured (not canned), baked" Winter Regional West Nickel ppb 0 40 
2019 2018 2 17 "Ham, cured (not canned), baked" Winter Regional Southeast Nickel ppb 40 40 
2019 2018 3 17 "Ham, cured (not canned), baked" Winter Regional Northeast Nickel ppb 0 40 
2019 2019 7 17 "Ham, cured (not canned), baked" Summer Regional Southeast Nickel ppb 0 40 
2019 2019 8 17 "Ham, cured (not canned), baked" Summer Regional North Central Nickel ppb 0 40 
2019 2019 9 17 "Ham, cured (not canned), baked" Summer Regional West Nickel ppb 0 40 
2019 2019 10 17 "Ham, cured (not canned), baked" Summer Regional Northeast Nickel ppb 0 40 
2019 2019 11 17 "Ham, cured (not canned), baked" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2019 2019 12 17 "Ham, cured (not canned), baked" Summer Regional Southwest Nickel ppb 0 40 
2020 2019 1 17 "Ham, cured (not canned), baked" Winter Regional Northeast Nickel ppb 0 40 
2020 2019 2 17 "Ham, cured (not canned), baked" Winter Regional Southwest Nickel ppb 0 40 
2020 2019 3 17 "Ham, cured (not canned), baked" Winter Regional Mid-Atlantic Nickel ppb 0 40 
